title,year,movie_id,title_new,country,cast_IDs,cast_names,genres,rating,year_new,type
Only Love,2014,4616256,Only Love,kr,"5710258,2164860,4469142,7270571,5877764,3692726,3898449,1215809,3674286,1626034,6647719,7270572,3718720,1136736,5553041,5507339,0497252,7270573,5744538,3368915,3746868,7270579,7270575,2405088,7270578,7270577,7270574,7270576,3514295,0814289,5948041","Seo-jin Han,Kyu-han Lee,Bo-ra Nam,Ha-Joon Seo,Im She-mi,Kim Ye-Won,Jong-Hoon Yoon,Sung-Hyun Baek,Dae-Sung Choi,Mi-ri Gyeon,Seo-jin Han,Hye-sun Jung,Sung Mo Jung,Yong-woo Kil,Kwon Kim,Na Young Kim,Eung-Kyung Lee,Hyun-Wook Lee,Jung-Eun Lee,Jung-sung Lee,Joon-hyeon Min,Kwang-hoon Na,Young-Kook Noh,Mi-hee Oh,Ha-Yi Park,Joo Jin Park,Woo Rim Seo,Soo Jung Shin,Jae-hee Song,Song Wok-suk,So Jung Yoon",Drama,,2014.0,tv series
Only One Person,2021,14731978,Only One Person,kr,"10825952,8685855,8707282,1085809","Eun-Jin Ahn,Sung-Hoon Park,Soo-Young Park,Du-shim Ko","Drama,Romance",,2021.0,tv series
Only You,2005,7099332,Only You,tw,"0490521,1541515,0869455,1394165,0867248,2108643,1392367,1753390,0497641,5704289,2432655,4184170,5750337,1953655,6789874,3818654,5397442,2115821,5010376,0618525,2273297,2887308,2598275,6867345,6998061,5500176,2433685,6821232","Damian Lau,Cristian Stelluti,Sunny Tu,Michelle Ho,Michael Tong,Eddie Peng,Cheryl Yang,Yi-Fei Chen,Kang-i Lee,Ah-Pao,Josephine A. Blankstein,Fu-Chou Chang,Ming-Jen Chu,Yi-kang Feng,Danny Huang,Her Jung,Calvin Li,Mei-Hsiu Lin,Kuang-Hui Liu,Wei-hsun Na,Sonny Su,Chi Tang,Chih-Wei Tang,Alex Tien,Kiki Ting,Kuo-Lin Ting,Alex Tung,Shao-Wen Yang",Drama,,2005.0,tv series
Operation Proposal,2012,3211128,Operation Proposal,kr,"1235558,3738785,3980263,3692726,8022820,5963347,4468489,2810190,0497252,4929314,3702737,11646149,3411948,5689517,3882477,4937852,1183043,6654605,11647040,11647041,3929504,11651333,6007238,11649615,3754556,11648448,11649450,11651092,11646150,11649613,11651777,3743703,11646782,11651234,11652464,1563825,11656458,6771503,11646783,3883232,11648595,11649614,11649451,7947829,11646151,3674042,11652465,7385214,11652466,6613417","Yoo Seung-ho,Eun-bin Park,Lee Hyun-Jin,Kim Ye-Won,Young-Seo Park,Go Kyung-Pyo,Park Jin-Joo,Jin-mo Joo,Eung-Kyung Lee,Lee Doo Il,Kim Tae-hoon,Dal-Hyung Lee,In-beom Ko,Moon Chun Shik,Jung-jin Lee,Jung-ui No,Ji-ho Kim,Hee-joon Oh,Chang-Hoon Oh,Hyo-Myung Kim,Ah-Jin Choi,Hyun-Seok Seo,Min-Hyung Song,Min-woo Kim,Tu-in Tak,Hoon-i Jeon,Sang-min Cha,Myeong-jin Choi,Il-Seong Ha,Dong-han Han,Hyun-tae Jeon,Choo-wol Kim,Ju-hwa Kim,Doo-Seok Lee,Sung-ho Lee,Seung-won Seo,Sun-Geun Son,Han Sung-yong,Hwang-bin Choi,Seung-beom Hong,Kyu-Joon Jo,Dae-Kyun Jung,Min-Jung Kang,Seung-pil Kim,Bong-joo Lee,Jong-goo Lee,Seung-Yong Song,Mi-ra Yook,Sung-hee Cho,Cheol-Seong Kang","Comedy,Fantasy,Romance",6.8,2012.0,tv series
Orange Marmalade,2015,4612952,Orange Marmalade,kr,"2082531,7267705,3237628,8044330,5190368,3755484","Yeo Jin-gu,Seol-Hyun Kim,Won Hee Lee,Joon-hee Song,Jong-Hyun Lee,Jong-ho Song","Fantasy,Romance",6.4,2015.0,tv series
Our Beloved Summer,2021,15026724,Our Beloved Summer,kr,"6079248,9913973,7591921,4468489,9411915","Woo-sik Choi,Kim Da-Mi,No Jeong-ee,Park Jin-Joo,Kim Sung-cheol","Comedy,Romance",,2021.0,tv series
Our Gap-soon,2016–17,5987792,Our Gap-soon,kr,"2664367,3768644,5866935,1926499,2086949,1085809,0496894,2293535,2558891,2179436,1343846,0453612,7052088","Kim So-eun,Jae-rim Song,Dae-chul Choi,Jeon Gook-hwan,Yong Jang,Du-shim Ko,Bo-Hee Lee,Byung-Joon Lee,Mi-young Lee,Wan Lee,Seon Yu,Gyu-ri Kim,Daniel Joey Albright","Drama,Romance",6.4,2016.0,tv series
Over the Rainbow,2006,978127,Over the Rainbow,kr,"5777459,2412682,1981533,2582360,1982607,2582876,1564197,1058832,2579891,2285701,1655340","Hyun-tak Shin,Hyun-Woo Ji,Seo Ji-hye,Hwan-hee,Kim Ok-bin,Kwon Choi,Kim Hye-Ok,Ha-ryong Lim,Hye-mi Na,Hee-Jin Park,Hyung Tak Shim","Drama,Music,Romance",6.8,2006.0,tv series
Padam Padam,2011–12,2303867,Padam Padam,kr,"0432601,1617711,3316961","Jung Woo-sung,Han Ji-min,Kim Bum","Fantasy,Romance",7.7,2011.0,tv series
Page Turner,2016,5602660,Page Turner,kr,"4258553,6887673,6811861,1050757,7995981","Kim So-Hyun,Ji Soo,Sin Jae-ha,Ji-won Ye,Kim Soo-Oh","Drama,Music",7.9,2016.0,tv series
